Basin,TYPE
SAMC1,fcast
MEEC1,fcast
BRWC1,fcast
RMSC1,fcast
YLOC1,fcast
CLLC1,fcast
RDRC1,fcast
STWN2,fcast
MHBC1,fcast
MCNC1,fcast
CYTC1,fcast
CEMC1,fcast
GRDN2,fcast
FTSC1,fcast
SCOC1,fcast
FRNC1,fcast
GRIC1,fcast
YUBC1,fcast
FBLC1,fcast
NCOC1,fcast
GUDC1,fcast
HREN2,fcast
PALN2,fcast
HBMN2,fcast
CMSN2,fcast
SEIC1,fcast
ONSC1,fcast
KLMC1,fcast
ARCC1,fcast
MHSN2,fcast
HPIC1,fcast
POHC1,fcast
STVC1,fcast
MFTC1,fcast
MVVC1,fcast
MBRC1,fcast
THTC1,fcast
MSGC1,fcast
SHEC1,fcast
APCC1,fcast
NVRC1,fcast
AROC1,fcast
CNBC1,fcast
ORIC1,fcast
HOPC1,fcast
HEAC1,fcast
GUEC1,fcast
BDBC1,fcast
RDBC1,fcast
TEHC1,fcast
VWBC1,fcast
HAMC1,fcast
ORFC1,fcast
BTCC1,fcast
CLSC1,fcast
CLAC1,fcast
CLUC1,fcast
TISC1,fcast
FMWC1,fcast
VONC1,fcast
SACC1,fcast
RVBC1,fcast
PRBC1,fcast
BRDC1,fcast
SPRC1,fcast
FSNC1,fcast
NWMC1,fcast
PATC1,fcast
VNSC1,fcast
MOSC1,fcast
SLOC1,fcast
VCAC1,fcast
SCPC1,fcast
YDRC1,fcast
NRWC1,fcast
FTJC1,fcast
SESC1,fcast
GARC1,fcast
CREC1,fcast
FTDC1,fcast
MRNC1,fcast
BTYO3,fcast
OBBC1,fcast
SUSC1,fcast
HOOC1,fcast
TRCC1,fcast
FARC1,fcast
TRRN2,fcast
VISN2,fcast
WADN2,fcast
MDSC1,fcast
BRGC1,fcast
VRVC1,fcast
MASN2,fcast
WOOC1,fcast
WWBC1,fcast
WMSO3,fcast
LSBC1,fcast
MRYC1,fcast
